datetime,sessionTime,ExciteOMeter
220902160116.778,0.360,0.73657
220902160116.778,1.360,0.89507
220902160116.778,2.360,0.97695
220902160116.778,3.380,0.69473
220902160116.778,4.380,0.67820
220902160116.778,5.380,0.83606
220902160116.778,6.380,0.68284
220902160116.778,7.380,0.55701
220902160116.778,8.400,0.51548
220902160116.778,9.400,0.25932
220902160116.778,10.400,0.22288
220902160116.778,11.400,0.05361
220902160116.778,12.400,0.29808
220902160116.778,13.400,0.16953
220902160116.778,14.400,0.30709
220902160116.778,15.420,0.49512
220902160116.778,16.420,0.40520
220902160116.778,17.420,0.57067
220902160116.778,18.420,0.48384
220902160116.778,19.420,0.38341
220902160116.778,20.420,0.22786
220902160116.778,21.420,0.39893
