datetime,sessionTime,RMSSD
220902160104.229,0.360,10.498
220902160104.229,1.360,10.498
220902160105.230,2.360,8.445
220902160106.235,3.380,11.231
220902160107.235,4.380,10.441
220902160108.236,5.380,10.495
220902160109.239,6.380,10.675
220902160110.245,7.380,11.068
220902160111.245,8.400,11.214
220902160112.248,9.400,12.289
220902160113.251,10.400,12.576
220902160114.253,11.400,12.827
220902160115.255,12.400,11.272
220902160116.260,13.400,12.117
220902160116.777,14.400,12.117
220902160116.777,15.420,12.117
220902160116.777,16.420,12.117
220902160116.777,17.420,12.117
220902160116.777,18.420,12.117
220902160116.777,19.420,12.117
220902160116.777,20.420,12.117
220902160116.777,21.420,12.117
