datetime,sessionTime,RRi
220902160055.192,0.360,799.204
220902160056.196,1.360,780.494
220902160057.201,2.360,779.808
220902160058.211,3.380,792.545
220902160059.214,4.380,803.982
220902160100.217,5.380,790.332
220902160101.219,6.380,801.435
220902160102.222,7.380,805.810
220902160103.226,8.400,806.799
220902160104.228,9.400,811.111
220902160105.230,10.400,811.115
220902160106.235,11.400,833.339
220902160107.235,12.400,836.170
220902160108.236,13.400,824.291
220902160109.239,14.400,809.436
220902160110.245,15.420,795.294
220902160111.245,16.420,802.266
220902160112.248,17.420,787.157
220902160113.251,18.420,796.252
220902160114.253,19.420,803.834
220902160115.255,20.420,816.352
220902160116.260,21.420,802.718
