datetime,sessionTime,HR
220902160055.192,0.360,70
220902160056.196,1.360,71
220902160057.201,2.360,71
220902160058.211,3.380,70
220902160059.214,4.380,70
220902160100.217,5.380,70
220902160101.219,6.380,70
220902160102.221,7.380,70
220902160103.226,8.400,70
220902160104.228,9.400,69
220902160105.230,10.400,69
220902160106.235,11.400,69
220902160107.235,12.400,69
220902160108.236,13.400,69
220902160109.239,14.400,70
220902160110.245,15.420,70
220902160111.245,16.420,70
220902160112.248,17.420,70
220902160113.251,18.420,70
220902160114.253,19.420,70
220902160115.255,20.420,69
220902160116.260,21.420,70
